cod_dsei,Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,63,Estimado em dados da saúde indígena,Provisório,2020,62,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,64,Estimado em dados da saúde indígena,Provisório,2020,54,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,65,Estimado em dados da saúde indígena,Provisório,2020,50,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,66,Estimado em dados da saúde indígena,Provisório,2020,51,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,67,Estimado em dados da saúde indígena,Provisório,2020,56,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,68,Estimado em dados da saúde indígena,Provisório,2020,42,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,69,Estimado em dados da saúde indígena,Provisório,2020,49,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,70,Estimado em dados da saúde indígena,Provisório,2020,42,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,71,Estimado em dados da saúde indígena,Provisório,2020,45,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,72,Estimado em dados da saúde indígena,Provisório,2020,50,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,73,Estimado em dados da saúde indígena,Provisório,2020,35,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,74,Estimado em dados da saúde indígena,Provisório,2020,39,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,75,Estimado em dados da saúde indígena,Provisório,2020,38,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,76,Estimado em dados da saúde indígena,Provisório,2020,32,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,77,Estimado em dados da saúde indígena,Provisório,2020,23,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,78,Estimado em dados da saúde indígena,Provisório,2020,20,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,79,Estimado em dados da saúde indígena,Provisório,2020,20,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,80,Estimado em dados da saúde indígena,Provisório,2020,23,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,81,Estimado em dados da saúde indígena,Provisório,2020,25,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,82,Estimado em dados da saúde indígena,Provisório,2020,17,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,83,Estimado em dados da saúde indígena,Provisório,2020,25,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,84,Estimado em dados da saúde indígena,Provisório,2020,19,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,85,Estimado em dados da saúde indígena,Provisório,2020,11,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,86,Estimado em dados da saúde indígena,Provisório,2020,12,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,87,Estimado em dados da saúde indígena,Provisório,2020,5,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,88,Estimado em dados da saúde indígena,Provisório,2020,10,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,89,Estimado em dados da saúde indígena,Provisório,2020,5,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,90,Estimado em dados da saúde indígena,Provisório,2020,5,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,91,Estimado em dados da saúde indígena,Provisório,2020,5,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,93,Estimado em dados da saúde indígena,Provisório,2020,3,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,94,Estimado em dados da saúde indígena,Provisório,2020,3,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,95,Estimado em dados da saúde indígena,Provisório,2020,1,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,96,Estimado em dados da saúde indígena,Provisório,2020,2,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,97,Estimado em dados da saúde indígena,Provisório,2020,2,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,100,Estimado em dados da saúde indígena,Provisório,2020,1,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,101,Estimado em dados da saúde indígena,Provisório,2020,1,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,102,Estimado em dados da saúde indígena,Provisório,2020,2,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,108,Estimado em dados da saúde indígena,Provisório,2020,1,
1,ALAGOAS E SERGIPE,2019,Total,Ambos os sexos,109,Estimado em dados da saúde indígena,Provisório,2020,1,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,0,Estimado em dados da saúde indígena,Provisório,2020,259,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,1,Estimado em dados da saúde indígena,Provisório,2020,341,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,2,Estimado em dados da saúde indígena,Provisório,2020,357,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,3,Estimado em dados da saúde indígena,Provisório,2020,363,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,4,Estimado em dados da saúde indígena,Provisório,2020,341,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,5,Estimado em dados da saúde indígena,Provisório,2020,359,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,6,Estimado em dados da saúde indígena,Provisório,2020,350,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,7,Estimado em dados da saúde indígena,Provisório,2020,330,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,8,Estimado em dados da saúde indígena,Provisório,2020,360,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,9,Estimado em dados da saúde indígena,Provisório,2020,353,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,10,Estimado em dados da saúde indígena,Provisório,2020,348,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,11,Estimado em dados da saúde indígena,Provisório,2020,333,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,12,Estimado em dados da saúde indígena,Provisório,2020,330,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,13,Estimado em dados da saúde indígena,Provisório,2020,328,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,14,Estimado em dados da saúde indígena,Provisório,2020,311,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,15,Estimado em dados da saúde indígena,Provisório,2020,331,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,16,Estimado em dados da saúde indígena,Provisório,2020,291,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,17,Estimado em dados da saúde indígena,Provisório,2020,322,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,18,Estimado em dados da saúde indígena,Provisório,2020,292,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,19,Estimado em dados da saúde indígena,Provisório,2020,294,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,20,Estimado em dados da saúde indígena,Provisório,2020,332,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,21,Estimado em dados da saúde indígena,Provisório,2020,242,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,22,Estimado em dados da saúde indígena,Provisório,2020,274,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,23,Estimado em dados da saúde indígena,Provisório,2020,279,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,24,Estimado em dados da saúde indígena,Provisório,2020,267,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,25,Estimado em dados da saúde indígena,Provisório,2020,248,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,26,Estimado em dados da saúde indígena,Provisório,2020,216,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,27,Estimado em dados da saúde indígena,Provisório,2020,226,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,28,Estimado em dados da saúde indígena,Provisório,2020,218,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,29,Estimado em dados da saúde indígena,Provisório,2020,208,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,30,Estimado em dados da saúde indígena,Provisório,2020,204,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,31,Estimado em dados da saúde indígena,Provisório,2020,200,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,32,Estimado em dados da saúde indígena,Provisório,2020,181,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,33,Estimado em dados da saúde indígena,Provisório,2020,181,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,34,Estimado em dados da saúde indígena,Provisório,2020,185,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,35,Estimado em dados da saúde indígena,Provisório,2020,147,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,36,Estimado em dados da saúde indígena,Provisório,2020,143,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,37,Estimado em dados da saúde indígena,Provisório,2020,158,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,38,Estimado em dados da saúde indígena,Provisório,2020,141,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,39,Estimado em dados da saúde indígena,Provisório,2020,123,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,40,Estimado em dados da saúde indígena,Provisório,2020,137,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,41,Estimado em dados da saúde indígena,Provisório,2020,117,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,42,Estimado em dados da saúde indígena,Provisório,2020,122,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,43,Estimado em dados da saúde indígena,Provisório,2020,94,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,44,Estimado em dados da saúde indígena,Provisório,2020,136,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,45,Estimado em dados da saúde indígena,Provisório,2020,104,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,46,Estimado em dados da saúde indígena,Provisório,2020,85,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,47,Estimado em dados da saúde indígena,Provisório,2020,83,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,48,Estimado em dados da saúde indígena,Provisório,2020,83,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,49,Estimado em dados da saúde indígena,Provisório,2020,70,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,50,Estimado em dados da saúde indígena,Provisório,2020,71,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,51,Estimado em dados da saúde indígena,Provisório,2020,61,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,52,Estimado em dados da saúde indígena,Provisório,2020,75,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,53,Estimado em dados da saúde indígena,Provisório,2020,76,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,54,Estimado em dados da saúde indígena,Provisório,2020,56,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,55,Estimado em dados da saúde indígena,Provisório,2020,46,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,56,Estimado em dados da saúde indígena,Provisório,2020,54,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,57,Estimado em dados da saúde indígena,Provisório,2020,41,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,58,Estimado em dados da saúde indígena,Provisório,2020,48,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,59,Estimado em dados da saúde indígena,Provisório,2020,66,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,60,Estimado em dados da saúde indígena,Provisório,2020,38,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,61,Estimado em dados da saúde indígena,Provisório,2020,46,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,62,Estimado em dados da saúde indígena,Provisório,2020,31,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,63,Estimado em dados da saúde indígena,Provisório,2020,26,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,64,Estimado em dados da saúde indígena,Provisório,2020,34,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,65,Estimado em dados da saúde indígena,Provisório,2020,25,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,66,Estimado em dados da saúde indígena,Provisório,2020,20,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,67,Estimado em dados da saúde indígena,Provisório,2020,33,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,68,Estimado em dados da saúde indígena,Provisório,2020,24,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,69,Estimado em dados da saúde indígena,Provisório,2020,32,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,70,Estimado em dados da saúde indígena,Provisório,2020,23,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,71,Estimado em dados da saúde indígena,Provisório,2020,24,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,72,Estimado em dados da saúde indígena,Provisório,2020,21,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,73,Estimado em dados da saúde indígena,Provisório,2020,18,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,74,Estimado em dados da saúde indígena,Provisório,2020,28,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,75,Estimado em dados da saúde indígena,Provisório,2020,20,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,76,Estimado em dados da saúde indígena,Provisório,2020,15,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,77,Estimado em dados da saúde indígena,Provisório,2020,19,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,78,Estimado em dados da saúde indígena,Provisório,2020,11,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,79,Estimado em dados da saúde indígena,Provisório,2020,15,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,80,Estimado em dados da saúde indígena,Provisório,2020,10,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,81,Estimado em dados da saúde indígena,Provisório,2020,16,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,82,Estimado em dados da saúde indígena,Provisório,2020,10,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,83,Estimado em dados da saúde indígena,Provisório,2020,14,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,84,Estimado em dados da saúde indígena,Provisório,2020,7,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,85,Estimado em dados da saúde indígena,Provisório,2020,7,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,86,Estimado em dados da saúde indígena,Provisório,2020,7,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,87,Estimado em dados da saúde indígena,Provisório,2020,3,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,88,Estimado em dados da saúde indígena,Provisório,2020,2,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,89,Estimado em dados da saúde indígena,Provisório,2020,4,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,90,Estimado em dados da saúde indígena,Provisório,2020,4,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,91,Estimado em dados da saúde indígena,Provisório,2020,4,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,92,Estimado em dados da saúde indígena,Provisório,2020,6,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,93,Estimado em dados da saúde indígena,Provisório,2020,3,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,94,Estimado em dados da saúde indígena,Provisório,2020,4,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,95,Estimado em dados da saúde indígena,Provisório,2020,1,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,97,Estimado em dados da saúde indígena,Provisório,2020,1,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,98,Estimado em dados da saúde indígena,Provisório,2020,3,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,99,Estimado em dados da saúde indígena,Provisório,2020,3,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,100,Estimado em dados da saúde indígena,Provisório,2020,3,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,101,Estimado em dados da saúde indígena,Provisório,2020,7,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,102,Estimado em dados da saúde indígena,Provisório,2020,3,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,103,Estimado em dados da saúde indígena,Provisório,2020,2,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,104,Estimado em dados da saúde indígena,Provisório,2020,1,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,105,Estimado em dados da saúde indígena,Provisório,2020,1,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,107,Estimado em dados da saúde indígena,Provisório,2020,2,
2,AMAPÁ E NORTE DO PARÁ,2019,Total,Ambos os sexos,109,Estimado em dados da saúde indígena,Provisório,2020,3,
3,ALTAMIRA,2019,Total,Ambos os sexos,0,Estimado em dados da saúde indígena,Provisório,2020,120,
3,ALTAMIRA,2019,Total,Ambos os sexos,1,Estimado em dados da saúde indígena,Provisório,2020,164,
3,ALTAMIRA,2019,Total,Ambos os sexos,2,Estimado em dados da saúde indígena,Provisório,2020,149,
3,ALTAMIRA,2019,Total,Ambos os sexos,3,Estimado em dados da saúde indígena,Provisório,2020,158,
3,ALTAMIRA,2019,Total,Ambos os sexos,4,Estimado em dados da saúde indígena,Provisório,2020,174,
3,ALTAMIRA,2019,Total,Ambos os sexos,5,Estimado em dados da saúde indígena,Provisório,2020,163,
3,ALTAMIRA,2019,Total,Ambos os sexos,6,Estimado em dados da saúde indígena,Provisório,2020,158,
3,ALTAMIRA,2019,Total,Ambos os sexos,7,Estimado em dados da saúde indígena,Provisório,2020,148,
3,ALTAMIRA,2019,Total,Ambos os sexos,8,Estimado em dados da saúde indígena,Provisório,2020,161,
3,ALTAMIRA,2019,Total,Ambos os sexos,9,Estimado em dados da saúde indígena,Provisório,2020,124,
3,ALTAMIRA,2019,Total,Ambos os sexos,10,Estimado em dados da saúde indígena,Provisório,2020,129,
3,ALTAMIRA,2019,Total,Ambos os sexos,11,Estimado em dados da saúde indígena,Provisório,2020,131,
3,ALTAMIRA,2019,Total,Ambos os sexos,12,Estimado em dados da saúde indígena,Provisório,2020,126,
3,ALTAMIRA,2019,Total,Ambos os sexos,13,Estimado em dados da saúde indígena,Provisório,2020,125,
3,ALTAMIRA,2019,Total,Ambos os sexos,14,Estimado em dados da saúde indígena,Provisório,2020,121,
